product_name,brand,category,sub_category,price,discount_rate,rating,review_count,tags,description,image_url,source,source_url
G BABY TEE_3 Colors,글로니,여성의류,단독,39900,5.0,5.0,340,무료배송|단독,None,https://img.29cm.co.kr/item/202507/11f0616e24e8841789093f8953460bc7.jpg,29cm,https://product.29cm.co.kr/catalog/3364526
[곰송이gomsongyi X 29Edition] COTTON RUFFLE BLOUSE_OFF WHITE,튜드먼트,여성의류,상의,86660,21.0,4.5,39,쿠폰|무료배송|에디션,None,https://img.29cm.co.kr/item/202604/11f13e2b522c0bb5bc92557edbbf41da.jpg,29cm,https://product.29cm.co.kr/catalog/3882178
[3rd] Loose-fit paper knit [KNSS07KN01]_Cream beige,노운베러,여성의류,니트웨어,59670,42.0,5.0,47,쿠폰|조건부 무료배송,None,https://img.29cm.co.kr/next-product/2026/05/08/c27f89b9eaa64d7e931a26973ac6a953_20260508153351.jpg,29cm,https://product.29cm.co.kr/catalog/3896753
Rose Petal Tee-Olive,비터셀즈,여성의류,상의,32340,34.0,5.0,131,쿠폰|무료배송,None,https://img.29cm.co.kr/item/202603/11f1242bc584e2adb4938bcefcc9d9c7.jpg,29cm,https://product.29cm.co.kr/catalog/3853196
"[오제, 묵화 PICK] 에센셜 라운드넥 반팔 티셔츠 MDTS073_10 Colors",몽돌,여성의류,상의,23590,36.0,5.0,567,쿠폰|무료배송,None,https://img.29cm.co.kr/item/202603/11f128cfe3e36d419454f55a8a0462c2.jpg,29cm,https://product.29cm.co.kr/catalog/3185392
[ARCHIES] 아치스_블랙,아치스,여성슈즈,슬리퍼,47410,5.0,5.0,3715,쿠폰|조건부 무료배송,None,https://img.29cm.co.kr/next-product/2023/04/14/b5b6ead2eb374460b0c0acd5c0b25a5f_20230414093328.jpg,29cm,https://product.29cm.co.kr/catalog/1108696
[여울 PICK] WOMAN 썸머 루즈핏 래글런 핀턱 블라우스 [IVORY] / GF2LBL514,제너럴아이디어,여성의류,상의,40800,24.0,4.5,170,쿠폰|조건부 무료배송,None,https://img.29cm.co.kr/item/202604/11f141dafbe01a4fbc9223fafa55db99.jpg,29cm,https://product.29cm.co.kr/catalog/3866102
PWC EVERYDAY BALLOON JOGGER PANTS_18COLOR,파르티멘토 우먼,여성의류,바지,37620,29.0,5.0,1614,쿠폰|무료배송|단독,None,https://img.29cm.co.kr/item/202602/11f1065e8d9969e2a540b78b5577ef66.jpg,29cm,https://product.29cm.co.kr/catalog/3334217
"[뉴컬러 Red,Brown] [단독] 사샤 플립플랍 키튼 힐 슬리퍼 [n5288]_6color",누스,여성슈즈,단독,53320,27.0,4.5,245,조건부 무료배송|단독,None,https://img.29cm.co.kr/item/202604/11f14373f986633a85ee97b2a967cd50.jpg,29cm,https://product.29cm.co.kr/catalog/3252127
Picnic Check Shirt_Blue,108파운드,여성의류,상의,52400,36.0,5.0,166,쿠폰|조건부 무료배송,None,https://img.29cm.co.kr/item/202603/11f11eafa5d7f670a3c069db27e87624.jpg,29cm,https://product.29cm.co.kr/catalog/3777277
